batter,bowler,Balls_Faced,Runs_Scored,Times_Out,Fours,Sixes,Strike_Rate,Dismissal_Rate
CH Gayle,AG Murtaza,10,43,0,3,5,430.0,0.0
HH Pandya,AS Rajpoot,11,42,0,0,6,381.8181818181818,0.0
RA Jadeja,LH Ferguson,11,41,1,3,4,372.7272727272727,0.09090909090909091
EJG Morgan,K Rabada,12,43,0,2,5,358.33333333333337,0.0
HH Pandya,P Negi,11,39,0,2,5,354.54545454545456,0.0
M Vijay,S Narwal,17,58,0,5,6,341.1764705882353,0.0
RK Singh,Yash Dayal,11,37,1,1,5,336.3636363636364,0.09090909090909091
KD Karthik,Akash Madhwal,10,33,0,5,2,330.0,0.0
KH Pandya,MA Wood,10,33,0,4,2,330.0,0.0
SA Yadav,M Jansen,12,39,1,4,3,325.0,0.08333333333333333
WG Jacks,MM Sharma,12,39,0,3,4,325.0,0.0
HM Amla,SL Malinga,16,51,0,4,5,318.75,0.0
DJ Hooda,S Gopal,12,38,0,1,5,316.66666666666663,0.0
MP Stoinis,M Prasidh Krishna,16,50,1,5,4,312.5,0.0625
CH Gayle,P Negi,10,31,0,1,4,310.0,0.0
SA Yadav,VG Arora,10,31,0,3,3,310.0,0.0
PD Salt,HV Patel,10,31,0,1,4,310.0,0.0
F du Plessis,J Little,11,34,1,5,2,309.09090909090907,0.09090909090909091
AB de Villiers,DJG Sammy,11,34,0,2,3,309.09090909090907,0.0
CH Gayle,MR Marsh,12,37,0,1,5,308.33333333333337,0.0
RM Patidar,M Markande,14,43,1,0,6,307.14285714285717,0.07142857142857142
Abhishek Sharma,Yash Thakur,14,43,0,6,3,307.14285714285717,0.0
V Sehwag,LJ Wright,11,33,0,2,3,300.0,0.0
CH Gayle,RS Bopara,10,30,0,0,4,300.0,0.0
AD Russell,TG Southee,16,48,1,1,6,300.0,0.0625
JP Duminy,A Singh,10,30,0,3,2,300.0,0.0
V Sehwag,JD Ryder,10,30,1,3,2,300.0,0.1
JC Buttler,Basil Thampi,14,42,0,4,4,300.0,0.0
Yuvraj Singh,AB Dinda,13,39,0,4,3,300.0,0.0
SO Hetmyer,AS Joseph,10,30,0,1,3,300.0,0.0
SV Samson,JA Richardson,10,30,0,3,2,300.0,0.0
GJ Maxwell,GB Hogg,13,39,0,4,3,300.0,0.0
HH Pandya,Kartik Tyagi,10,30,0,2,3,300.0,0.0
BCJ Cutting,SR Watson,16,48,1,2,6,300.0,0.0625
SP Narine,S Badree,16,48,0,5,4,300.0,0.0
KA Pollard,NLTC Perera,17,50,0,4,5,294.11764705882354,0.0
AB de Villiers,AB Dinda,17,50,0,6,3,294.11764705882354,0.0
Q de Kock,D Wiese,16,47,0,7,2,293.75,0.0
TH David,T Natarajan,16,47,1,4,4,293.75,0.0625
CH Gayle,R Sharma,14,41,1,2,5,292.85714285714283,0.07142857142857142
PJ Cummins,SM Curran,14,41,1,1,5,292.85714285714283,0.07142857142857142
KA Pollard,T Natarajan,13,38,0,2,4,292.30769230769226,0.0
YBK Jaiswal,JR Hazlewood,13,38,1,4,3,292.30769230769226,0.07692307692307693
SS Iyer,TM Head,13,38,0,3,3,292.30769230769226,0.0
Abhishek Sharma,Kuldeep Yadav,13,38,2,1,5,292.30769230769226,0.15384615384615385
KM Jadhav,P Kumar,12,35,1,2,3,291.66666666666663,0.08333333333333333
A Symonds,S Sreesanth,12,35,0,3,3,291.66666666666663,0.0
JC Buttler,HR Shokeen,11,32,1,2,4,290.90909090909093,0.09090909090909091
LS Livingstone,DG Nalkande,11,32,0,4,2,290.90909090909093,0.0
JH Kallis,Bipul Sharma,11,32,0,2,3,290.90909090909093,0.0
AD Russell,MP Stoinis,11,32,0,0,5,290.90909090909093,0.0
LRPL Taylor,AB Agarkar,10,29,0,2,2,290.0,0.0
V Shankar,CV Varun,10,29,0,0,4,290.0,0.0
YV Takawale,SR Watson,10,29,0,5,1,290.0,0.0
Harbhajan Singh,Anureet Singh,10,29,1,1,4,290.0,0.1
Rashid Khan,CJ Jordan,18,52,1,4,5,288.88888888888886,0.05555555555555555
SP Narine,K Gowtham,17,49,1,7,3,288.2352941176471,0.058823529411764705
MP Stoinis,CJ Jordan,31,89,1,10,6,287.0967741935484,0.03225806451612903
Shubman Gill,C Green,15,43,0,4,3,286.6666666666667,0.0
AD Russell,Anureet Singh,15,43,0,4,3,286.6666666666667,0.0
SV Samson,K Khejroliya,14,40,0,1,5,285.7142857142857,0.0
CH Gayle,MS Gony,26,74,1,6,7,284.61538461538464,0.038461538461538464
AD Russell,SN Thakur,19,54,3,2,7,284.2105263157895,0.15789473684210525
LS Livingstone,Mukesh Choudhary,12,34,0,4,3,283.33333333333337,0.0
SA Yadav,Akash Deep,12,34,0,2,3,283.33333333333337,0.0
AB de Villiers,A Flintoff,12,34,0,2,3,283.33333333333337,0.0
PC Valthaty,JA Morkel,12,34,0,5,1,283.33333333333337,0.0
JC Buttler,CJ Jordan,11,31,0,0,4,281.8181818181818,0.0
HC Brook,UT Yadav,11,31,0,3,2,281.8181818181818,0.0
DA Miller,Mukesh Kumar,11,31,1,4,2,281.8181818181818,0.09090909090909091
DJ Bravo,TA Boult,11,31,1,4,2,281.8181818181818,0.09090909090909091
SK Raina,DR Smith,16,45,0,5,3,281.25,0.0
SP Narine,Rasikh Salam,10,28,0,5,1,280.0,0.0
S Dube,Akash Deep,10,28,0,3,2,280.0,0.0
RA Jadeja,M Prasidh Krishna,10,28,0,3,2,280.0,0.0
CH Gayle,AN Ahmed,10,28,0,3,2,280.0,0.0
GJ Bailey,MM Sharma,15,42,0,6,2,280.0,0.0
RV Uthappa,S Sreesanth,20,56,0,2,6,280.0,0.0
AB de Villiers,MG Neser,10,28,0,3,2,280.0,0.0
RG Sharma,JDS Neesham,10,28,0,3,2,280.0,0.0
H Klaasen,KV Sharma,10,28,0,0,3,280.0,0.0
V Sehwag,A Symonds,14,39,1,4,3,278.57142857142856,0.07142857142857142
JC Buttler,AS Joseph,18,50,0,9,2,277.77777777777777,0.0
DA Miller,DS Kulkarni,13,36,3,0,5,276.9230769230769,0.23076923076923078
RA Tripathi,MP Stoinis,13,36,2,4,3,276.9230769230769,0.15384615384615385
SS Iyer,Shivam Mavi,26,72,1,4,7,276.9230769230769,0.038461538461538464
KL Rahul,A Mishra,17,47,0,5,3,276.4705882352941,0.0
TH David,SN Thakur,12,33,1,1,4,275.0,0.08333333333333333
KL Rahul,TS Mills,12,33,0,6,1,275.0,0.0
MA Agarwal,S Gopal,15,41,0,2,4,273.3333333333333,0.0
JM Bairstow,P Ray Barman,15,41,0,2,4,273.3333333333333,0.0
Rahmanullah Gurbaz,Rashid Khan,11,30,0,3,2,272.7272727272727,0.0
RR Pant,Basil Thampi,11,30,1,2,3,272.7272727272727,0.09090909090909091
CA Lynn,AJ Tye,11,30,3,2,3,272.7272727272727,0.2727272727272727
CH Gayle,Kamran Khan,18,49,2,6,4,272.22222222222223,0.1111111111111111
CA Lynn,DS Kulkarni,17,46,0,5,3,270.5882352941177,0.0
HC Brook,LH Ferguson,10,27,0,5,1,270.0,0.0
Misbah-ul-Haq,R Bhatia,10,27,0,1,3,270.0,0.0
DJ Hooda,Umran Malik,10,27,0,3,2,270.0,0.0
BB McCullum,JDP Oram,10,27,1,0,4,270.0,0.1
Kamran Akmal,S Sreesanth,10,27,0,2,3,270.0,0.0
SE Marsh,SK Warne,10,27,0,1,3,270.0,0.0
Ishan Kishan,R Tewatia,13,35,0,2,3,269.2307692307692,0.0
Harbhajan Singh,RP Singh,13,35,1,6,1,269.2307692307692,0.07692307692307693
SE Marsh,JJ van der Wath,13,35,0,4,3,269.2307692307692,0.0
WG Jacks,Rashid Khan,13,35,0,1,4,269.2307692307692,0.0
DA Miller,RP Singh,13,35,0,4,2,269.2307692307692,0.0
KA Pollard,A Zampa,16,43,1,2,4,268.75,0.0625
H Klaasen,Noor Ahmad,16,43,0,3,4,268.75,0.0
V Kohli,KC Cariappa,16,43,1,1,6,268.75,0.0625
GJ Maxwell,Kuldeep Yadav,22,59,4,3,6,268.1818181818182,0.18181818181818182
GJ Maxwell,KV Sharma,28,75,0,2,9,267.85714285714283,0.0
DP Conway,Vijaykumar Vyshak,12,32,0,4,2,266.66666666666663,0.0
H Klaasen,Shahbaz Ahmed,12,32,0,3,2,266.66666666666663,0.0
DA Warner,KW Richardson,21,56,0,4,5,266.66666666666663,0.0
KL Rahul,DW Steyn,18,48,0,4,4,266.66666666666663,0.0
N Pooran,SN Thakur,20,53,4,2,6,265.0,0.2
F du Plessis,CJ Anderson,14,37,0,4,2,264.2857142857143,0.0
MS Dhoni,TK Curran,14,37,0,3,3,264.2857142857143,0.0
V Sehwag,KA Pollard,14,37,0,5,2,264.2857142857143,0.0
Abhishek Sharma,HV Patel,11,29,1,5,1,263.6363636363636,0.09090909090909091
Shahbaz Ahmed,KK Ahmed,11,29,0,1,3,263.6363636363636,0.0
HV Patel,DJ Bravo,11,29,1,0,4,263.6363636363636,0.09090909090909091
GC Smith,L Balaji,11,29,0,3,2,263.6363636363636,0.0
V Sehwag,ST Jayasuriya,11,29,0,1,3,263.6363636363636,0.0
PP Shaw,SN Thakur,16,42,0,7,2,262.5,0.0
AD Russell,B Kumar,37,97,1,9,8,262.16216216216213,0.02702702702702703
AB de Villiers,TA Boult,21,55,1,5,4,261.9047619047619,0.047619047619047616
KL Rahul,Mohammad Nabi,21,55,0,6,3,261.9047619047619,0.0
SS Iyer,C de Grandhomme,13,34,0,5,1,261.53846153846155,0.0
CL White,DS Kulkarni,13,34,0,4,2,261.53846153846155,0.0
MS Dhoni,M Morkel,13,34,1,4,2,261.53846153846155,0.07692307692307693
SO Hetmyer,JO Holder,18,47,0,6,3,261.11111111111114,0.0
PD Salt,Mohammed Siraj,18,47,1,3,5,261.11111111111114,0.05555555555555555
Y Venugopal Rao,SK Trivedi,10,26,1,2,2,260.0,0.1
Ishan Kishan,SSB Magala,10,26,0,5,0,260.0,0.0
GJ Maxwell,M Pathirana,10,26,0,3,2,260.0,0.0
KD Karthik,SM Curran,25,65,1,8,3,260.0,0.04
RK Singh,Yash Thakur,10,26,0,1,3,260.0,0.0
AD Russell,DJ Bravo,30,78,0,4,8,260.0,0.0
KA Pollard,P Kumar,12,31,0,3,2,258.33333333333337,0.0
BB McCullum,PJ Cummins,21,54,0,4,6,257.14285714285717,0.0
LS Livingstone,JC Archer,14,36,0,1,4,257.14285714285717,0.0
SPD Smith,S Nadeem,21,54,1,6,4,257.14285714285717,0.047619047619047616
CH Gayle,JD Unadkat,28,72,0,6,6,257.14285714285717,0.0
AJ Finch,Shakib Al Hasan,14,36,1,3,3,257.14285714285717,0.07142857142857142
DR Smith,BW Hilfenhaus,16,41,0,5,3,256.25,0.0
AB de Villiers,A Ashish Reddy,18,46,0,3,4,255.55555555555554,0.0
RR Pant,MM Sharma,27,69,0,4,7,255.55555555555554,0.0
AK Markram,Suyash Sharma,11,28,0,2,3,254.54545454545453,0.0
DA Miller,LJ Wright,11,28,0,1,3,254.54545454545453,0.0
KP Pietersen,JP Duminy,11,28,0,1,3,254.54545454545453,0.0
SE Marsh,SB Jakati,11,28,0,3,2,254.54545454545453,0.0
RD Gaikwad,J Suchith,13,33,0,6,0,253.84615384615384,0.0
ST Jayasuriya,VY Mahesh,13,33,1,3,3,253.84615384615384,0.07692307692307693
KD Karthik,Mujeeb Ur Rahman,13,33,0,2,3,253.84615384615384,0.0
Ishan Kishan,S Aravind,13,33,0,3,3,253.84615384615384,0.0
CA Lynn,BB Sran,15,38,0,4,3,253.33333333333331,0.0
GJ Maxwell,DR Smith,17,43,1,3,4,252.94117647058823,0.058823529411764705
KK Nair,PP Ojha,14,35,0,4,2,250.0,0.0
CH Gayle,GJ Maxwell,14,35,0,2,4,250.0,0.0
SV Samson,Yash Thakur,20,50,0,4,4,250.0,0.0
MA Agarwal,DS Kulkarni,10,25,0,5,0,250.0,0.0
SP Narine,S Aravind,14,35,0,6,1,250.0,0.0
CR Brathwaite,SN Thakur,16,40,2,1,5,250.0,0.125
AJ Finch,LR Shukla,12,30,0,2,2,250.0,0.0
GJ Bailey,JP Faulkner,12,30,1,2,2,250.0,0.08333333333333333
Q de Kock,Abdul Samad,10,25,0,1,2,250.0,0.0
Tilak Varma,Mukesh Kumar,10,25,2,1,3,250.0,0.2
SA Yadav,AS Joseph,16,40,0,2,4,250.0,0.0
KR Mayers,AR Patel,10,25,1,1,3,250.0,0.1
IK Pathan,PJ Sangwan,10,25,0,2,2,250.0,0.0
YK Pathan,Yuvraj Singh,16,40,1,0,5,250.0,0.0625
Harpreet Brar,HV Patel,12,30,1,1,3,250.0,0.08333333333333333
KA Pollard,AS Rajpoot,16,40,1,4,3,250.0,0.0625
Tilak Varma,Shahbaz Ahmed,10,25,0,0,3,250.0,0.0
SV Samson,Basil Thampi,10,25,0,2,2,250.0,0.0
RA Jadeja,S Sreesanth,12,30,0,4,1,250.0,0.0
MR Marsh,Arshdeep Singh,10,25,1,2,2,250.0,0.1
MP Stoinis,GC Viljoen,10,25,0,2,2,250.0,0.0
Abhishek Sharma,PP Chawla,16,40,2,1,5,250.0,0.125
R Parag,A Nortje,14,35,0,3,3,250.0,0.0
AD Russell,Mohammed Shami,40,99,2,4,12,247.5,0.05
CH Gayle,RA Jadeja,17,42,1,5,3,247.05882352941177,0.058823529411764705
VR Iyer,RP Meredith,15,37,1,2,4,246.66666666666669,0.06666666666666667
GJ Maxwell,MJ McClenaghan,15,37,1,3,3,246.66666666666669,0.06666666666666667
AB de Villiers,MM Sharma,28,69,1,4,6,246.42857142857144,0.03571428571428571
SC Ganguly,SJ Srivastava,13,32,0,4,1,246.15384615384616,0.0
RG Sharma,MF Maharoof,13,32,1,3,2,246.15384615384616,0.07692307692307693
PP Shaw,S Kaul,13,32,0,4,2,246.15384615384616,0.0
Ashutosh Sharma,Avesh Khan,13,32,0,1,3,246.15384615384616,0.0
JM Bairstow,GJ Maxwell,13,32,0,1,3,246.15384615384616,0.0
Abishek Porel,HV Patel,13,32,2,4,2,246.15384615384616,0.15384615384615385
SV Samson,AS Roy,13,32,0,0,4,246.15384615384616,0.0
RG Sharma,MM Patel,13,32,0,5,1,246.15384615384616,0.0
CH Gayle,Mohammed Siraj,24,59,0,6,4,245.83333333333334,0.0
Gurkeerat Singh,IK Pathan,11,27,0,0,3,245.45454545454547,0.0
BA Stokes,Bipul Sharma,11,27,0,0,3,245.45454545454547,0.0
MA Agarwal,MM Patel,11,27,0,2,2,245.45454545454547,0.0
MC Henriques,YK Pathan,11,27,0,1,3,245.45454545454547,0.0
DR Smith,GJ Maxwell,11,27,1,1,3,245.45454545454547,0.09090909090909091
F du Plessis,CR Brathwaite,11,27,1,3,2,245.45454545454547,0.09090909090909091
SP Narine,YS Chahal,20,49,0,3,4,245.00000000000003,0.0
SR Watson,VY Mahesh,20,49,0,4,4,245.00000000000003,0.0
MS Dhoni,JD Unadkat,43,105,1,8,7,244.1860465116279,0.023255813953488372
RR Pant,UT Yadav,16,39,1,4,3,243.75,0.0625
VR Iyer,Yash Dayal,16,39,1,5,2,243.75,0.0625
M Vohra,Rashid Khan,16,39,0,4,3,243.75,0.0
Yuvraj Singh,Kuldeep Yadav,16,39,0,4,3,243.75,0.0
SR Watson,S Kaul,14,34,0,3,2,242.85714285714283,0.0
RM Patidar,RD Chahar,14,34,1,0,5,242.85714285714283,0.07142857142857142
KS Williamson,MM Sharma,14,34,0,4,1,242.85714285714283,0.0
KH Pandya,MP Stoinis,21,51,3,6,3,242.85714285714283,0.14285714285714285
SO Hetmyer,SM Curran,19,46,2,5,3,242.10526315789474,0.10526315789473684
RR Pant,VR Iyer,19,46,0,6,2,242.10526315789474,0.0
D Padikkal,MP Stoinis,12,29,0,5,1,241.66666666666666,0.0
F du Plessis,MG Johnson,12,29,2,3,2,241.66666666666666,0.16666666666666666
AB de Villiers,AD Russell,36,87,1,8,6,241.66666666666666,0.027777777777777776
DJ Hooda,L Ngidi,12,29,1,1,3,241.66666666666666,0.08333333333333333
RR Rossouw,Harpreet Brar,12,29,1,2,2,241.66666666666666,0.08333333333333333
JC Buttler,Akash Deep,12,29,0,0,3,241.66666666666666,0.0
AC Blizzard,M Morkel,12,29,0,7,0,241.66666666666666,0.0
R Parag,G Coetzee,12,29,0,4,2,241.66666666666666,0.0
AD Russell,Yash Dayal,17,41,0,4,3,241.17647058823528,0.0
SP Narine,R Ashwin,39,94,1,9,7,241.02564102564102,0.02564102564102564
JA Morkel,SK Warne,37,89,0,6,8,240.54054054054052,0.0
Q de Kock,AD Russell,37,89,2,9,5,240.54054054054052,0.05405405405405406
AB de Villiers,MP Stoinis,20,48,0,1,5,240.0,0.0
DL Chahar,R Ashwin,10,24,1,1,2,240.0,0.1
HH Pandya,JDS Neesham,10,24,0,3,1,240.0,0.0
ST Jayasuriya,B Geeves,10,24,0,4,1,240.0,0.0
MM Ali,Kuldeep Yadav,20,48,2,3,5,240.0,0.1
JO Holder,NT Ellis,10,24,0,0,3,240.0,0.0
V Sehwag,VS Malik,10,24,0,3,2,240.0,0.0
ML Hayden,PP Chawla,10,24,0,1,3,240.0,0.0
V Sehwag,Joginder Sharma,15,36,1,6,1,240.0,0.06666666666666667
V Kohli,A Symonds,10,24,1,2,2,240.0,0.1
HH Pandya,A Zampa,25,60,1,2,7,240.0,0.04
LRPL Taylor,Sohail Tanvir,10,24,0,3,2,240.0,0.0
WP Saha,JH Kallis,10,24,1,2,2,240.0,0.1
Mandeep Singh,B Laughlin,10,24,0,4,0,240.0,0.0
AB de Villiers,DW Steyn,23,55,2,3,5,239.1304347826087,0.08695652173913043
AD Russell,SM Curran,23,55,2,5,5,239.1304347826087,0.08695652173913043
DP Conway,Kuldeep Yadav,18,43,0,4,3,238.88888888888889,0.0
LS Livingstone,Mukesh Kumar,13,31,1,2,3,238.46153846153845,0.07692307692307693
Ishan Kishan,Mustafizur Rahman,13,31,0,5,1,238.46153846153845,0.0
V Shankar,DJ Bravo,24,57,1,2,6,237.5,0.041666666666666664
YK Pathan,DL Vettori,16,38,0,1,4,237.5,0.0
RR Pant,JP Faulkner,16,38,1,2,4,237.5,0.0625
AD Russell,VR Aaron,16,38,0,4,3,237.5,0.0
V Shankar,LH Ferguson,16,38,0,3,2,237.5,0.0
YBK Jaiswal,RP Meredith,19,45,0,9,1,236.84210526315786,0.0
KL Rahul,MP Stoinis,11,26,0,3,1,236.36363636363637,0.0
AB de Villiers,A Chandila,11,26,0,2,2,236.36363636363637,0.0
PD Salt,Mohsin Khan,11,26,0,2,2,236.36363636363637,0.0
TM Head,UT Yadav,11,26,0,3,2,236.36363636363637,0.0
TR Birt,R Vinay Kumar,11,26,1,4,1,236.36363636363637,0.09090909090909091
WP Saha,HH Pandya,11,26,0,4,1,236.36363636363637,0.0
MJ Lumb,J Theron,11,26,0,4,1,236.36363636363637,0.0
YK Pathan,Umar Gul,14,33,1,5,1,235.71428571428572,0.07142857142857142
KA Pollard,L Ngidi,14,33,1,2,3,235.71428571428572,0.07142857142857142
Abhishek Sharma,TG Southee,14,33,0,3,2,235.71428571428572,0.0
AC Gilchrist,AB Agarkar,20,47,1,8,2,235.0,0.05
SV Samson,M Markande,23,54,0,3,5,234.7826086956522,0.0
KA Pollard,SM Curran,23,54,1,3,6,234.7826086956522,0.043478260869565216
DA Warner,TP Sudhindra,12,28,0,3,2,233.33333333333334,0.0
KA Pollard,TG Southee,12,28,1,3,2,233.33333333333334,0.08333333333333333
SO Hetmyer,AD Russell,12,28,0,2,3,233.33333333333334,0.0
YK Pathan,WPUJC Vaas,15,35,0,1,4,233.33333333333334,0.0
STR Binny,PP Ojha,12,28,0,3,2,233.33333333333334,0.0
RR Pant,AJ Tye,15,35,0,3,3,233.33333333333334,0.0
SO Hetmyer,Kartik Tyagi,15,35,1,3,3,233.33333333333334,0.06666666666666667
DA Warner,SW Tait,12,28,0,4,1,233.33333333333334,0.0
Tilak Varma,Arshdeep Singh,15,35,1,3,3,233.33333333333334,0.06666666666666667
DA Warner,P Awana,12,28,0,2,3,233.33333333333334,0.0
Ishan Kishan,A Nortje,28,65,0,7,4,232.14285714285717,0.0
DA Warner,MG Johnson,22,51,1,8,2,231.81818181818184,0.045454545454545456
Abdul Samad,A Nortje,16,37,0,4,2,231.25,0.0
DR Smith,J Suchith,16,37,0,4,3,231.25,0.0
RG Sharma,DT Christian,32,74,0,6,6,231.25,0.0
G Gambhir,AB Dinda,16,37,1,4,2,231.25,0.0625
DA Miller,R Vinay Kumar,13,30,0,3,2,230.76923076923075,0.0
AB de Villiers,JC Archer,13,30,0,3,2,230.76923076923075,0.0
F du Plessis,Kartik Tyagi,13,30,0,5,1,230.76923076923075,0.0
SP Narine,MP Stoinis,13,30,0,1,4,230.76923076923075,0.0
AP Tare,JP Faulkner,13,30,0,3,2,230.76923076923075,0.0
DA Warner,AF Milne,13,30,0,3,2,230.76923076923075,0.0
SV Samson,RP Meredith,13,30,0,1,3,230.76923076923075,0.0
PD Salt,M Jansen,13,30,1,1,3,230.76923076923075,0.07692307692307693
Yuvraj Singh,K Rabada,13,30,1,5,1,230.76923076923075,0.07692307692307693
AB de Villiers,HV Patel,23,53,0,6,3,230.43478260869566,0.0
SO Hetmyer,Mukesh Kumar,10,23,0,1,2,229.99999999999997,0.0
E Lewis,IC Porel,10,23,0,4,1,229.99999999999997,0.0
RG Sharma,AS Joseph,10,23,0,4,1,229.99999999999997,0.0
RA Jadeja,MG Johnson,10,23,0,3,0,229.99999999999997,0.0
AC Gilchrist,S Aravind,10,23,0,2,2,229.99999999999997,0.0
SV Samson,Shahbaz Ahmed,10,23,1,0,3,229.99999999999997,0.1
KR Mayers,YS Chahal,10,23,0,3,1,229.99999999999997,0.0
CA Lynn,MJ Henry,10,23,1,3,1,229.99999999999997,0.1
JC Archer,M Prasidh Krishna,10,23,0,3,1,229.99999999999997,0.0
NV Ojha,Shivam Sharma,10,23,0,0,3,229.99999999999997,0.0
STR Binny,M Kartik,10,23,0,1,2,229.99999999999997,0.0
AC Blizzard,B Lee,10,23,1,3,1,229.99999999999997,0.1
PP Shaw,MA Starc,10,23,0,5,0,229.99999999999997,0.0
CH Gayle,TA Boult,10,23,0,0,3,229.99999999999997,0.0
YBK Jaiswal,Akash Singh,17,39,0,8,1,229.41176470588235,0.0
RR Pant,B Kumar,41,94,1,8,7,229.2682926829268,0.024390243902439025
AB de Villiers,MJ McClenaghan,24,55,1,8,2,229.16666666666666,0.041666666666666664
NV Ojha,A Mishra,21,48,2,5,3,228.57142857142856,0.09523809523809523
R Parag,KK Ahmed,14,32,0,2,3,228.57142857142856,0.0
HM Amla,Basil Thampi,18,41,1,5,2,227.77777777777777,0.05555555555555555
KK Nair,DJ Bravo,18,41,2,2,4,227.77777777777777,0.1111111111111111
PP Shaw,Shivam Mavi,18,41,0,7,1,227.77777777777777,0.0
MK Tiwary,JH Kallis,11,25,1,4,1,227.27272727272728,0.09090909090909091
JA Morkel,V Sehwag,11,25,1,1,3,227.27272727272728,0.09090909090909091
AC Voges,IK Pathan,11,25,1,2,1,227.27272727272728,0.09090909090909091
KA Pollard,J Botha,11,25,1,2,2,227.27272727272728,0.09090909090909091
DJ Hussey,A Kumble,11,25,1,0,3,227.27272727272728,0.09090909090909091
MP Stoinis,HH Pandya,11,25,0,2,2,227.27272727272728,0.0
MP Stoinis,JO Holder,11,25,0,3,1,227.27272727272728,0.0
HM Amla,A Nehra,11,25,0,4,1,227.27272727272728,0.0
AJ Finch,CR Brathwaite,11,25,0,3,1,227.27272727272728,0.0
JM Bairstow,AD Russell,22,50,0,6,3,227.27272727272728,0.0
V Kohli,S Kaushik,22,50,0,2,5,227.27272727272728,0.0
RD Gaikwad,Akash Madhwal,11,25,0,2,2,227.27272727272728,0.0
Shahbaz Ahmed,AD Russell,11,25,0,1,3,227.27272727272728,0.0
LRPL Taylor,MM Patel,11,25,1,4,1,227.27272727272728,0.09090909090909091
AB de Villiers,J Suchith,11,25,0,5,0,227.27272727272728,0.0
F du Plessis,C Green,11,25,1,4,1,227.27272727272728,0.09090909090909091
RA Jadeja,JO Holder,11,25,0,2,2,227.27272727272728,0.0
SR Watson,Azhar Mahmood,11,25,0,4,1,227.27272727272728,0.0
PP Shaw,Kuldeep Yadav,11,25,0,1,2,227.27272727272728,0.0
NV Ojha,SB Jakati,22,50,1,1,6,227.27272727272728,0.045454545454545456
KC Sangakkara,Joginder Sharma,11,25,0,2,2,227.27272727272728,0.0
T Stubbs,Sandeep Sharma,15,34,1,2,3,226.66666666666666,0.06666666666666667
AB de Villiers,AS Rajpoot,15,34,0,5,1,226.66666666666666,0.0
MS Dhoni,A Mithun,15,34,0,2,3,226.66666666666666,0.0
MK Pandey,Karanveer Singh,19,43,1,3,4,226.3157894736842,0.05263157894736842
AD Russell,AJ Tye,19,43,2,3,4,226.3157894736842,0.10526315789473684
SA Yadav,Mohammed Siraj,27,61,1,6,4,225.9259259259259,0.037037037037037035
SA Yadav,AS Rajpoot,35,79,0,9,6,225.71428571428572,0.0
AB de Villiers,HH Pandya,39,88,0,10,5,225.64102564102564,0.0
SA Yadav,JJ Bumrah,12,27,1,1,3,225.0,0.08333333333333333
TH David,Mohsin Khan,16,36,0,3,2,225.0,0.0
BB McCullum,DP Nannes,16,36,0,3,3,225.0,0.0
T Stubbs,Naveen-ul-Haq,12,27,0,1,2,225.0,0.0
SR Watson,M Muralitharan,24,54,1,1,6,225.0,0.041666666666666664
Nithish Kumar Reddy,Harpreet Brar,20,45,0,3,4,225.0,0.0
RM Patidar,PVD Chameera,12,27,0,4,1,225.0,0.0
RM Patidar,Ravi Bishnoi,20,45,0,3,4,225.0,0.0
AT Rayudu,JR Hopes,12,27,1,6,0,225.0,0.08333333333333333
SA Yadav,S Sandeep Warrier,12,27,0,4,1,225.0,0.0
EJG Morgan,GJ Maxwell,20,45,0,2,5,225.0,0.0
AC Gilchrist,DT Christian,12,27,1,4,1,225.0,0.08333333333333333
SM Katich,MS Gony,12,27,0,1,3,225.0,0.0
CH Gayle,BB Sran,12,27,0,1,3,225.0,0.0
TK Curran,SP Narine,12,27,0,1,3,225.0,0.0
Kamran Akmal,M Ntini,12,27,0,4,1,225.0,0.0
MJ Lumb,JA Morkel,16,36,2,4,2,225.0,0.125
JC Buttler,Yash Dayal,41,92,1,13,4,224.39024390243904,0.024390243902439025
SP Narine,K Rabada,21,47,2,5,3,223.80952380952382,0.09523809523809523
KA Pollard,RA Jadeja,51,114,2,6,11,223.52941176470588,0.0392156862745098
MS Dhoni,SM Curran,17,38,0,2,3,223.52941176470588,0.0
MS Bisla,DJ Bravo,17,38,1,4,2,223.52941176470588,0.058823529411764705
IK Pathan,R Rampaul,13,29,0,2,3,223.0769230769231,0.0
AM Rahane,Yash Dayal,13,29,0,2,2,223.0769230769231,0.0
J Botha,PP Ojha,13,29,0,3,1,223.0769230769231,0.0
EJG Morgan,SR Watson,13,29,1,2,2,223.0769230769231,0.07692307692307693
DA Warner,CK Langeveldt,13,29,0,3,2,223.0769230769231,0.0
DJ Bravo,S Sreesanth,13,29,0,3,2,223.0769230769231,0.0
VR Iyer,T Natarajan,13,29,2,5,1,223.0769230769231,0.15384615384615385
HH Pandya,Ravi Bishnoi,31,69,0,4,6,222.5806451612903,0.0
SV Samson,CR Woakes,18,40,0,5,2,222.22222222222223,0.0
ML Hayden,R Vinay Kumar,18,40,1,6,1,222.22222222222223,0.05555555555555555
JD Ryder,UT Yadav,18,40,0,4,3,222.22222222222223,0.0
DA Warner,KC Cariappa,23,51,0,3,4,221.73913043478262,0.0
RR Pant,R Parag,23,51,1,4,4,221.73913043478262,0.043478260869565216
ST Jayasuriya,JA Morkel,23,51,0,4,5,221.73913043478262,0.0
